,age,workclass,education,matrial,occupation,relationship,race,sex,work-per-week,country,salary
0,50,5,9,2,3,0,4,1,13,38,0
1,38,3,11,0,5,5,4,1,40,38,0
2,53,3,1,2,5,0,2,1,40,38,0
3,28,3,9,2,9,3,2,0,40,4,0
4,37,3,12,2,3,3,4,0,40,38,0
5,49,3,6,3,7,5,2,0,16,22,0
6,52,5,11,2,3,0,4,1,45,38,1
7,31,3,12,4,9,5,4,0,50,38,1
8,42,3,9,2,3,0,4,1,40,38,1
9,37,3,15,2,3,0,2,1,80,38,1
10,30,6,9,2,9,0,1,1,40,18,1
11,23,3,9,4,0,1,4,0,30,38,0
12,32,3,7,4,11,5,2,1,50,38,0
13,40,3,8,2,2,0,1,1,40,41,1
14,34,3,5,2,13,0,0,1,45,25,0
15,25,5,11,4,4,1,4,1,35,38,0
16,32,3,11,4,6,2,4,1,40,38,0
17,38,3,1,2,11,0,4,1,50,38,0
18,43,5,12,0,3,2,4,0,45,38,1
19,40,3,10,2,9,0,4,1,60,38,1
20,54,3,11,5,7,2,2,0,20,38,0
21,35,0,6,2,4,0,2,1,40,38,0
22,43,3,1,2,13,0,4,1,40,38,0
23,59,3,11,0,12,2,4,0,40,38,0
24,56,1,9,2,12,0,4,1,40,38,1
25,19,3,11,4,2,1,4,1,40,38,0
26,54,8,15,2,14,0,1,1,60,34,1
27,39,3,11,0,3,5,4,1,80,38,0
28,49,3,11,2,2,0,4,1,40,38,0
29,23,1,7,4,10,5,4,1,52,38,0
30,20,3,15,4,11,1,2,1,44,38,0
31,45,3,9,0,3,1,4,1,40,38,0
32,30,0,15,2,0,1,4,1,40,38,0
33,22,6,15,2,7,0,2,1,15,38,0
34,48,3,1,4,6,2,4,1,40,32,0
35,21,3,15,4,6,1,4,1,40,38,0
36,19,3,11,1,0,3,4,0,25,38,0
37,31,3,15,2,11,0,4,1,38,41,1
38,48,5,7,2,9,0,4,1,40,38,0
39,31,3,6,2,6,0,4,1,43,38,0
40,53,5,9,2,9,0,4,1,40,38,0
41,24,3,9,2,12,0,4,1,50,38,0
42,49,3,11,5,0,2,4,0,40,38,0
43,25,3,11,4,5,5,4,1,35,38,0
44,57,0,9,2,9,0,2,1,40,38,1
45,53,3,11,2,6,0,4,1,38,38,0
46,44,3,12,0,3,2,4,0,40,38,0
47,41,6,8,2,2,0,4,1,40,38,0
48,29,3,8,4,9,5,4,1,43,38,0
49,25,3,15,2,3,3,3,0,40,38,0
50,18,3,11,4,7,1,4,0,30,41,0
51,47,3,14,2,9,3,4,0,60,15,1
52,50,0,9,0,3,5,4,1,55,38,1
53,47,4,11,0,3,5,4,1,60,38,0
54,43,3,15,2,12,0,4,1,40,38,1
55,46,3,4,2,6,0,4,1,40,25,0
56,35,3,8,2,7,0,4,1,40,32,0
57,41,3,11,2,0,0,4,1,48,38,0
58,30,3,11,2,6,0,4,1,40,38,0
59,30,3,9,2,11,0,4,1,40,38,0
60,32,8,5,3,14,5,4,1,40,41,0
61,48,3,11,2,13,0,4,1,40,38,0
62,42,3,10,2,9,0,4,1,45,38,1
63,29,3,15,0,12,5,4,1,58,38,0
64,36,3,11,2,2,0,4,1,40,38,0
65,28,3,15,0,0,5,4,0,40,38,0
66,53,3,11,2,0,3,4,0,40,38,1
67,49,4,15,2,3,0,4,1,50,38,1
68,25,8,15,4,14,1,4,1,40,38,0
69,19,3,15,4,9,1,4,1,32,38,0
70,31,3,9,5,11,1,2,0,40,38,0
71,29,5,9,2,11,0,4,1,70,38,1
72,23,3,15,4,6,5,4,1,40,38,0
73,79,3,15,2,9,4,4,1,20,38,0
74,27,3,11,4,7,1,4,1,40,25,0
75,40,3,7,2,0,0,4,1,40,38,0
76,67,8,0,2,14,0,4,1,2,38,0
77,18,3,1,4,7,1,4,0,22,38,0
78,31,1,5,2,4,0,4,1,40,38,0
79,18,3,11,4,11,5,4,1,30,38,0
80,52,3,9,2,7,0,4,1,40,4,0
81,46,3,11,2,7,3,4,0,40,38,0
82,59,3,11,2,11,0,4,1,48,38,0
83,44,3,11,0,2,5,4,0,40,38,1
84,53,3,11,0,11,1,4,0,35,38,0
85,49,1,11,2,10,0,4,1,40,38,1
86,33,3,12,2,9,0,4,1,50,38,0
87,30,3,6,4,11,5,4,1,40,38,0
88,43,0,10,4,9,5,4,0,50,38,1
89,57,3,8,2,9,0,4,1,40,38,0
90,37,3,15,0,2,2,4,0,40,38,0
91,28,3,15,0,6,2,2,0,25,38,0
92,30,3,11,2,11,3,1,0,35,41,0
93,34,1,9,2,10,0,4,1,40,38,1
94,29,1,15,4,5,5,4,1,50,38,0
95,48,5,10,2,9,0,4,1,60,38,1
96,37,3,15,2,11,0,4,1,48,38,1
97,48,3,7,0,3,2,4,0,40,8,0
98,32,0,11,4,7,1,2,1,40,38,0
99,76,3,12,2,3,0,4,1,40,38,1
100,44,3,9,2,3,0,4,1,60,38,1
101,47,5,12,4,9,5,4,0,50,38,0
102,20,3,15,4,12,1,4,0,40,38,0
103,29,3,11,4,2,5,4,1,40,38,0
104,32,4,11,2,2,0,4,1,40,38,1
105,17,8,0,4,14,1,4,0,32,38,0
106,30,3,1,4,5,1,4,1,40,38,0
107,31,1,11,4,0,5,4,0,40,38,0
108,42,3,11,2,5,0,4,1,40,38,0
109,24,3,9,4,11,4,4,1,40,38,0
110,38,3,14,2,9,0,4,1,40,38,1
111,56,5,11,2,7,0,4,1,50,1,1
112,28,3,15,2,11,3,4,0,25,38,0
113,36,3,11,4,6,1,4,0,40,38,0
114,53,3,6,2,5,0,4,1,50,38,0
115,56,4,15,2,11,0,4,1,50,38,0
116,49,1,8,2,2,0,2,1,40,38,1
117,55,3,15,2,11,0,4,1,56,38,0
118,22,3,11,4,2,5,4,1,41,38,0
119,21,3,15,4,7,1,4,0,40,38,0
120,40,3,9,2,3,0,4,1,60,38,0
121,30,3,9,4,3,1,2,1,40,10,0
122,29,6,9,2,9,0,4,1,50,38,1
123,19,3,15,4,7,1,2,1,35,38,0
124,47,3,9,2,3,3,4,0,40,38,1
125,20,3,15,4,0,1,4,0,28,38,0
126,31,3,7,2,0,0,4,1,40,38,1
127,35,8,11,2,14,0,4,1,40,38,0
128,39,3,15,0,2,5,4,1,40,38,0
129,28,3,7,4,11,5,4,0,60,38,0
130,24,3,11,4,7,5,4,0,40,38,0
131,38,5,11,2,2,0,4,1,35,38,0
132,37,3,9,2,11,0,4,1,50,38,0
133,46,3,7,0,12,5,2,0,36,38,0
134,38,0,12,2,9,0,4,1,40,19,1
135,43,5,11,2,2,0,4,1,60,38,0
136,27,3,8,2,0,3,4,0,35,38,0
137,20,3,15,4,11,1,4,1,20,38,0
138,49,3,15,2,2,0,1,1,40,38,1
139,61,4,11,2,2,0,4,1,40,38,0
140,27,3,15,4,11,1,4,0,40,38,0
141,19,3,15,4,7,1,4,1,30,25,0
142,45,3,8,4,9,5,4,0,40,38,1
143,70,3,15,4,12,4,4,1,40,38,0
144,31,3,11,4,13,2,2,0,30,38,0
145,22,3,15,2,7,0,4,1,24,38,0
146,36,3,11,6,7,2,4,0,24,38,0
147,64,3,1,2,2,0,4,1,40,38,0
148,43,8,15,0,14,5,4,0,40,38,0
149,47,1,15,0,0,2,4,0,38,25,0
150,34,3,11,4,0,5,4,0,40,38,0
151,33,3,9,4,3,4,1,0,40,29,0
152,21,3,11,4,2,1,4,1,35,38,0
153,52,8,11,0,14,5,4,1,45,38,1
